run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit
P2_S3_B1_seed1005,S3,B1,1005,3,0.0008839838579254271,-1.9602420432262223e-05,0.0008839838579254271,-1.9602420432262223e-05,13.4,177.2,False,False,False,0,unknown
P2_S3_B1_seed1006,S3,B1,1006,3,0.0010372721622598125,-2.3013079079416024e-05,0.0010372721622598125,-2.3013079079416024e-05,12.7,269.4,False,False,False,0,unknown
P2_S3_B1_seed1007,S3,B1,1007,3,0.0009657748886142373,-2.1359927064771172e-05,0.0009657748886142373,-2.1359927064771172e-05,13.3,281.7,False,False,False,0,unknown
P2_S3_B1_seed1008,S3,B1,1008,3,0.0004516268399393044,-9.83983792233697e-06,0.0004516268399393044,-9.83983792233697e-06,12.9,195.4,False,False,False,0,unknown
P2_S3_B1_seed1009,S3,B1,1009,3,0.0026736374369300225,-6.0281154902588384e-05,0.0026736374369300225,-6.0281154902588384e-05,12.8,170.9,False,False,False,0,unknown
P2_S3_B1_seed1010,S3,B1,1010,3,0.0010199923162303,-2.2625818769395143e-05,0.0010199923162303,-2.2625818769395143e-05,14.3,199.3,False,False,False,0,unknown
P2_S3_B2_seed1001,S3,B2,1001,3,0.0010280343102086747,-2.2925277641989655e-05,0.0010280343102086747,-2.2925277641989655e-05,14.6,79.7,False,True,False,0,unknown
P2_S3_B2_seed1002,S3,B2,1002,3,0.0025728526929999765,-5.786043086869687e-05,0.0025728526929999765,-5.786043086869687e-05,12.2,57.1,False,False,False,0,unknown
P2_S3_B2_seed1003,S3,B2,1003,3,0.00253723823199113,-5.710031484770609e-05,0.00253723823199113,-5.710031484770609e-05,13.1,59.6,False,True,False,0,unknown
P2_S3_B2_seed1004,S3,B2,1004,3,0.0009485637454774001,-2.1083901869696472e-05,0.0009485637454774001,-2.1083901869696472e-05,14.0,250.5,False,False,False,0,unknown
P2_S3_B2_seed1005,S3,B2,1005,3,0.0010166271875261539,-2.249456991521734e-05,0.0010166271875261539,-2.249456991521734e-05,14.4,57.8,False,False,False,0,unknown
P2_S3_B2_seed1006,S3,B2,1006,3,0.0010181998771300216,-2.261007947882083e-05,0.0010181998771300216,-2.261007947882083e-05,14.8,62.9,False,True,False,0,unknown
P2_S3_B2_seed1007,S3,B2,1007,3,0.0010391471868154245,-2.2994478464240975e-05,0.0010391471868154245,-2.2994478464240975e-05,13.0,52.2,False,False,False,0,unknown
P2_S3_B2_seed1008,S3,B2,1008,3,0.002566634927045088,-5.7824350930441276e-05,0.002566634927045088,-5.7824350930441276e-05,12.4,115.1,False,True,False,0,unknown
P2_S3_B2_seed1009,S3,B2,1009,3,0.001026257192936675,-2.2745377670948944e-05,0.001026257192936675,-2.2745377670948944e-05,13.1,66.7,False,True,False,0,unknown
P2_S3_B2_seed1010,S3,B2,1010,3,0.0010319718185605054,-2.2864452055817706e-05,0.0010319718185605054,-2.2864452055817706e-05,12.6,58.6,False,True,False,0,unknown
P2_S3_B3_seed1001,S3,B3,1001,3,0.0007896189581263406,-1.7368117414433984e-05,0.0007896189581263406,-1.7368117414433984e-05,12.7,140.5,False,False,False,0,unknown
P2_S3_B3_seed1002,S3,B3,1002,3,0.0029042092623361646,-6.585348348607601e-05,0.0029042092623361646,-6.585348348607601e-05,14.2,135.0,False,False,False,0,unknown
